Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,color code (product.metafields.custom.color_code),make (product.metafields.custom.make),UPC (product.metafields.facts.upc),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Paint finish (product.metafields.shopify.paint-finish),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle decor features (product.metafields.shopify.vehicle-decor-features),Vehicle paint type (product.metafields.shopify.vehicle-paint-type),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
for-ford-yz-z1-white-gallon-paint,For Toyota 218 Attitude Black Metallic Paint,<p>Requires 1:1 urethane reducer</p>,Spectral Paints,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Paint > Motor Vehicle Body Paint",Paint,Factory Pack,TRUE,Title,Gallon,,,,,,,,SP-GAL-218,4535.9237,shopify,10,deny,manual,197.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/3gqp_Toyota_218_Attitude_Black_1K_Basecoat_b52a5ef1-bfda-4f35-a73a-e7f91da1ed26.jpg?v=1750269938,1,,FALSE,,,,,,,,,,,,,,218,Toyota,,,,,,,,,,,,,,lb,,94.69,active
for-ford-yz-z1-white-gallon-paint,,,,,,,,,Quart,,,,,,,,SP-QT-218,4535.9237,shopify,4,deny,manual,72.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1g_Toyota_218_Attitude_Black_1K_Basecoat_77364577-1aec-426b-903a-6084ae44f40b.jpg?v=1752082257,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1q_Toyota_218_Attitude_Black_1K_Basecoat_3fa1e19d-068c-44e2-84b7-f2386df87137.jpg?v=1750269938,lb,,19.93,
for-ford-yz-z1-white-gallon-paint,,,,,,,,,Pint,,,,,,,,SP-PT-218,4535.9237,shopify,5,deny,manual,52.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1g_Toyota_218_Attitude_Black_1K_Basecoat.jpg?v=1750269938,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1p_Toyota_218_Attitude_Black_1K_Basecoat_28a040c0-3ced-4b29-a4f3-59befc20e6b1.jpg?v=1750269939,lb,,9.96,
for-ford-yz-z1-white-gallon-paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1q_Toyota_218_Attitude_Black_1K_Basecoat_3fa1e19d-068c-44e2-84b7-f2386df87137.jpg?v=1750269938,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for-ford-yz-z1-white-gallon-paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1p_Toyota_218_Attitude_Black_1K_Basecoat_28a040c0-3ced-4b29-a4f3-59befc20e6b1.jpg?v=1750269939,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for-gmc-chevrolet-buick-cadillac-wa8624-8624-u8624-gallon-white-paint,For GMC Chevrolet Buick Cadillac WA636R/ 636R  Switchblade Silver Paint,<p>Requires Urethane Reducer 1:1</p>,Spectral Paints,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Paint > Motor Vehicle Body Paint",Paint,Factory Pack,TRUE,Title,Gallon,,,,,,,,SP-GAL-WA636R,4535.9237,shopify,10,deny,manual,164.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/3gqp_GM_WA-636R_Switchblade_Silver_1K_Basecoat_0e50aedd-1cfb-46cb-b432-9bba6db45cf6.jpg?v=1750269940,1,,FALSE,,,,,,,,,,,,,,WA636R,Chevrolet GMC Buick Cadillac,,,,,,,,,,,,,,lb,,71.11,active
for-gmc-chevrolet-buick-cadillac-wa8624-8624-u8624-gallon-white-paint,,,,,,,,,Quart,,,,,,,,SP-QT-WA636R,4535.9237,shopify,4,deny,manual,65.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1g_GM_WA-636R_Switchblade_Silver_1K_Basecoat_fcd3b33c-e085-4c8a-b448-eb22bb673685.jpg?v=1752082243,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1q_GM_WA-636R_Switchblade_Silver_1K_Basecoat_14635ca2-3ab4-4cec-88e0-dfbfab461be9.jpg?v=1750269940,lb,,14.03,
for-gmc-chevrolet-buick-cadillac-wa8624-8624-u8624-gallon-white-paint,,,,,,,,,Pint,,,,,,,,SP-PT-WA636R,4535.9237,shopify,5,deny,manual,48.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1g_GM_WA-636R_Switchblade_Silver_1K_Basecoat.jpg?v=1750269940,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1p_GM_WA-636R_Switchblade_Silver_1K_Basecoat_e4553f9c-3106-4d1d-9622-33b36531cbd6.jpg?v=1750269940,lb,,7.02,
for-gmc-chevrolet-buick-cadillac-wa8624-8624-u8624-gallon-white-paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1q_GM_WA-636R_Switchblade_Silver_1K_Basecoat_14635ca2-3ab4-4cec-88e0-dfbfab461be9.jpg?v=1750269940,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for-gmc-chevrolet-buick-cadillac-wa8624-8624-u8624-gallon-white-paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1p_GM_WA-636R_Switchblade_Silver_1K_Basecoat_e4553f9c-3106-4d1d-9622-33b36531cbd6.jpg?v=1750269940,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
